id,display_name,category,glb_path,score,threshold,should_remove,confidence_band,reasons
l4d2_w_models_weapons_w_rifle_ak47,W Rifle Ak47,w_models,l4d2/w_models/weapons/w_rifle_ak47.glb,2.000,1.100,1,high,viewmodel_like:keyword=weapon:1.00 | viewmodel_like:keyword=rifle:1.00
l4d2_w_models_weapons_w_rifle_b,W Rifle,w_models,l4d2/w_models/weapons/w_rifle_b.glb,2.000,1.100,1,high,viewmodel_like:keyword=weapon:1.00 | viewmodel_like:keyword=rifle:1.00
l4d2_w_models_weapons_w_rifle_m16a2,W Rifle M16A2,w_models,l4d2/w_models/weapons/w_rifle_m16a2.glb,2.000,1.100,1,high,viewmodel_like:keyword=weapon:1.00 | viewmodel_like:keyword=rifle:1.00
l4d2_w_models_weapons_w_rifle_sg552,W Rifle Sg552,w_models,l4d2/w_models/weapons/w_rifle_sg552.glb,2.000,1.100,1,high,viewmodel_like:keyword=weapon:1.00 | viewmodel_like:keyword=rifle:1.00
l4d2_weapons_arms_v_arms_bill,V Arms Bill,weapons,l4d2/weapons/arms/v_arms_bill.glb,2.000,1.100,1,high,viewmodel_like:keyword=weapon:1.00 | viewmodel_like:keyword=arms:1.00
l4d2_weapons_arms_v_arms_coach_new,V Arms Coach New,weapons,l4d2/weapons/arms/v_arms_coach_new.glb,2.000,1.100,1,high,viewmodel_like:keyword=weapon:1.00 | viewmodel_like:keyword=arms:1.00
l4d2_weapons_arms_v_arms_francis,V Arms Francis,weapons,l4d2/weapons/arms/v_arms_francis.glb,2.000,1.100,1,high,viewmodel_like:keyword=weapon:1.00 | viewmodel_like:keyword=arms:1.00
l4d2_weapons_arms_v_arms_gambler_new,V Arms Gambler New,weapons,l4d2/weapons/arms/v_arms_gambler_new.glb,2.000,1.100,1,high,viewmodel_like:keyword=weapon:1.00 | viewmodel_like:keyword=arms:1.00
l4d2_weapons_arms_v_arms_louis,V Arms Louis,weapons,l4d2/weapons/arms/v_arms_louis.glb,2.000,1.100,1,high,viewmodel_like:keyword=weapon:1.00 | viewmodel_like:keyword=arms:1.00
l4d2_weapons_arms_v_arms_mechanic_new,V Arms Mechanic New,weapons,l4d2/weapons/arms/v_arms_mechanic_new.glb,2.000,1.100,1,high,viewmodel_like:keyword=weapon:1.00 | viewmodel_like:keyword=arms:1.00
l4d2_weapons_arms_v_arms_producer_new,V Arms Producer New,weapons,l4d2/weapons/arms/v_arms_producer_new.glb,2.000,1.100,1,high,viewmodel_like:keyword=weapon:1.00 | viewmodel_like:keyword=arms:1.00
l4d2_weapons_arms_v_arms_zoey,V Arms Zoey,weapons,l4d2/weapons/arms/v_arms_zoey.glb,2.000,1.100,1,high,viewmodel_like:keyword=weapon:1.00 | viewmodel_like:keyword=arms:1.00
portal_weapons_v_portalgun,V Portalgun,weapons,portal/weapons/v_portalgun.glb,2.000,1.100,1,high,viewmodel_like:keyword=weapon:1.00 | viewmodel_like:keyword=gun:1.00
portal_weapons_w_portalgun,W Portalgun,weapons,portal/weapons/w_portalgun.glb,2.000,1.100,1,high,viewmodel_like:keyword=weapon:1.00 | viewmodel_like:keyword=gun:1.00
portal2_weapons_v_portalgun,V Portalgun,weapons,portal2/weapons/v_portalgun.glb,2.000,1.100,1,high,viewmodel_like:keyword=weapon:1.00 | viewmodel_like:keyword=gun:1.00
portal2_weapons_w_models_w_portalgun_w_portalgun,W Portalgun,weapons,portal2/weapons/w_models/w_portalgun/w_portalgun.glb,2.000,1.100,1,high,viewmodel_like:keyword=weapon:1.00 | viewmodel_like:keyword=gun:1.00
portal2_weapons_w_portalgun,W Portalgun,weapons,portal2/weapons/w_portalgun.glb,2.000,1.100,1,high,viewmodel_like:keyword=weapon:1.00 | viewmodel_like:keyword=gun:1.00
tf2_applejack_shotgun,Shotgun,applejack,tf2/applejack/shotgun.glb,2.000,1.100,1,high,viewmodel_like:keyword=gun:1.00 | viewmodel_like:keyword=shotgun:1.00
tf2_applejack_shotgun_plaque,Shotgun Plaque,applejack,tf2/applejack/shotgun_plaque.glb,2.000,1.100,1,high,viewmodel_like:keyword=gun:1.00 | viewmodel_like:keyword=shotgun:1.00
tf2_props_mall_weapons_static_c_minigun,C Minigun,props_mall,tf2/props_mall/weapons_static/c_minigun.glb,2.000,1.100,1,high,viewmodel_like:keyword=weapon:1.00 | viewmodel_like:keyword=gun:1.00
tf2_props_mall_weapons_static_c_pistol,C Pistol,props_mall,tf2/props_mall/weapons_static/c_pistol.glb,2.000,1.100,1,high,viewmodel_like:keyword=weapon:1.00 | viewmodel_like:keyword=pistol:1.00
tf2_props_mall_weapons_static_c_scattergun,C Scattergun,props_mall,tf2/props_mall/weapons_static/c_scattergun.glb,2.000,1.100,1,high,viewmodel_like:keyword=weapon:1.00 | viewmodel_like:keyword=gun:1.00
tf2_props_mall_weapons_static_c_sniperrifle,C Sniperrifle,props_mall,tf2/props_mall/weapons_static/c_sniperrifle.glb,2.000,1.100,1,high,viewmodel_like:keyword=weapon:1.00 | viewmodel_like:keyword=rifle:1.00
tf2_vsh_weapons_c_models_c_hell_hale_arms,C Hell Hale Arms,vsh,tf2/vsh/weapons/c_models/c_hell_hale_arms.glb,2.000,1.100,1,high,viewmodel_like:keyword=weapon:1.00 | viewmodel_like:keyword=arms:1.00
tf2_vsh_weapons_c_models_c_santa_hale_arms,C Santa Hale Arms,vsh,tf2/vsh/weapons/c_models/c_santa_hale_arms.glb,2.000,1.100,1,high,viewmodel_like:keyword=weapon:1.00 | viewmodel_like:keyword=arms:1.00
tf2_props_gothic_diningchair_arms,Diningchair Arms,props_gothic,tf2/props_gothic/diningchair_arms.glb,1.850,1.100,1,high,character_like:keyword=hair:0.85 | viewmodel_like:keyword=arms:1.00
css_props_combine_bunker_gun01,Bunker Gun,props_combine,css/props_combine/bunker_gun01.glb,1.000,1.100,0,none,viewmodel_like:keyword=gun:1.00
css_props_cs_militia_gun_cabinet,Gun Cabinet,props,css/props/cs_militia/gun_cabinet.glb,1.000,1.100,0,none,viewmodel_like:keyword=gun:1.00
css_props_cs_militia_gun_cabinet_glass,Gun Cabinet Glass,props,css/props/cs_militia/gun_cabinet_glass.glb,1.000,1.100,0,none,viewmodel_like:keyword=gun:1.00
css_weapons_v_c4,V C4,weapons,css/weapons/v_c4.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_v_eq_flashbang,V Eq Flashbang,weapons,css/weapons/v_eq_flashbang.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_v_eq_fraggrenade,V Eq Fraggrenade,weapons,css/weapons/v_eq_fraggrenade.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_v_eq_smokegrenade,V Eq Smokegrenade,weapons,css/weapons/v_eq_smokegrenade.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_v_knife_t,V Knife,weapons,css/weapons/v_knife_t.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_v_mach_m249para,V Mach M249Para,weapons,css/weapons/v_mach_m249para.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_v_pist_deagle,V Pist Deagle,weapons,css/weapons/v_pist_deagle.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_v_pist_elite,V Pist Elite,weapons,css/weapons/v_pist_elite.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_v_pist_fiveseven,V Pist Fiveseven,weapons,css/weapons/v_pist_fiveseven.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_v_pist_glock18,V Pist Glock18,weapons,css/weapons/v_pist_glock18.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_v_pist_p228,V Pist P228,weapons,css/weapons/v_pist_p228.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_v_pist_usp,V Pist Usp,weapons,css/weapons/v_pist_usp.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_v_rif_ak47,V Rif Ak47,weapons,css/weapons/v_rif_ak47.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_v_rif_aug,V Rif Aug,weapons,css/weapons/v_rif_aug.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_v_rif_famas,V Rif Famas,weapons,css/weapons/v_rif_famas.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_v_rif_galil,V Rif Galil,weapons,css/weapons/v_rif_galil.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_v_rif_m4a1,V Rif M4A1,weapons,css/weapons/v_rif_m4a1.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_v_rif_sg552,V Rif Sg552,weapons,css/weapons/v_rif_sg552.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_v_shot_m3super90,V Shot M3Super90,weapons,css/weapons/v_shot_m3super90.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_v_shot_xm1014,V Shot Xm1014,weapons,css/weapons/v_shot_xm1014.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_v_smg_mac10,V Smg Mac10,weapons,css/weapons/v_smg_mac10.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_v_smg_mp5,V Smg Mp5,weapons,css/weapons/v_smg_mp5.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_v_smg_p90,V Smg P90,weapons,css/weapons/v_smg_p90.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_v_smg_tmp,V Smg Tmp,weapons,css/weapons/v_smg_tmp.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_v_smg_ump45,V Smg Ump45,weapons,css/weapons/v_smg_ump45.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_v_snip_awp,V Snip Awp,weapons,css/weapons/v_snip_awp.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_v_snip_g3sg1,V Snip G3Sg1,weapons,css/weapons/v_snip_g3sg1.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_v_snip_scout,V Snip Scout,weapons,css/weapons/v_snip_scout.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_v_snip_sg550,V Snip Sg550,weapons,css/weapons/v_snip_sg550.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_w_c4,W C4,weapons,css/weapons/w_c4.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_w_c4_planted,W C4 Planted,weapons,css/weapons/w_c4_planted.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_w_defuser,W Defuser,weapons,css/weapons/w_defuser.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_w_eq_eholster,W Eq Eholster,weapons,css/weapons/w_eq_eholster.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_w_eq_eholster_elite,W Eq Eholster Elite,weapons,css/weapons/w_eq_eholster_elite.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_w_eq_flashbang,W Eq Flashbang,weapons,css/weapons/w_eq_flashbang.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_w_eq_flashbang_thrown,W Eq Flashbang Thrown,weapons,css/weapons/w_eq_flashbang_thrown.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_w_eq_fraggrenade,W Eq Fraggrenade,weapons,css/weapons/w_eq_fraggrenade.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_w_eq_fraggrenade_thrown,W Eq Fraggrenade Thrown,weapons,css/weapons/w_eq_fraggrenade_thrown.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_w_eq_smokegrenade,W Eq Smokegrenade,weapons,css/weapons/w_eq_smokegrenade.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_w_eq_smokegrenade_thrown,W Eq Smokegrenade Thrown,weapons,css/weapons/w_eq_smokegrenade_thrown.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_w_knife_ct,W Knife Ct,weapons,css/weapons/w_knife_ct.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_w_knife_t,W Knife,weapons,css/weapons/w_knife_t.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_w_mach_m249para,W Mach M249Para,weapons,css/weapons/w_mach_m249para.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_w_pist_deagle,W Pist Deagle,weapons,css/weapons/w_pist_deagle.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_w_pist_elite,W Pist Elite,weapons,css/weapons/w_pist_elite.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_w_pist_elite_dropped,W Pist Elite Dropped,weapons,css/weapons/w_pist_elite_dropped.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_w_pist_elite_single,W Pist Elite Single,weapons,css/weapons/w_pist_elite_single.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_w_pist_fiveseven,W Pist Fiveseven,weapons,css/weapons/w_pist_fiveseven.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_w_pist_glock18,W Pist Glock18,weapons,css/weapons/w_pist_glock18.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_w_pist_p228,W Pist P228,weapons,css/weapons/w_pist_p228.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_w_pist_usp,W Pist Usp,weapons,css/weapons/w_pist_usp.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_w_pist_usp_silencer,W Pist Usp Silencer,weapons,css/weapons/w_pist_usp_silencer.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_w_rif_ak47,W Rif Ak47,weapons,css/weapons/w_rif_ak47.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_w_rif_aug,W Rif Aug,weapons,css/weapons/w_rif_aug.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_w_rif_famas,W Rif Famas,weapons,css/weapons/w_rif_famas.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_w_rif_galil,W Rif Galil,weapons,css/weapons/w_rif_galil.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_w_rif_m4a1,W Rif M4A1,weapons,css/weapons/w_rif_m4a1.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_w_rif_m4a1_silencer,W Rif M4A1 Silencer,weapons,css/weapons/w_rif_m4a1_silencer.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_w_rif_sg552,W Rif Sg552,weapons,css/weapons/w_rif_sg552.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_w_shot_m3super90,W Shot M3Super90,weapons,css/weapons/w_shot_m3super90.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_w_shot_xm1014,W Shot Xm1014,weapons,css/weapons/w_shot_xm1014.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_w_smg_mac10,W Smg Mac10,weapons,css/weapons/w_smg_mac10.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_w_smg_mp5,W Smg Mp5,weapons,css/weapons/w_smg_mp5.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_w_smg_p90,W Smg P90,weapons,css/weapons/w_smg_p90.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_w_smg_tmp,W Smg Tmp,weapons,css/weapons/w_smg_tmp.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_w_smg_ump45,W Smg Ump45,weapons,css/weapons/w_smg_ump45.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_w_snip_awp,W Snip Awp,weapons,css/weapons/w_snip_awp.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_w_snip_g3sg1,W Snip G3Sg1,weapons,css/weapons/w_snip_g3sg1.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_w_snip_scout,W Snip Scout,weapons,css/weapons/w_snip_scout.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
css_weapons_w_snip_sg550,W Snip Sg550,weapons,css/weapons/w_snip_sg550.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
dod_weapons_p_frag,P Frag,weapons,dod/weapons/p_frag.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
dod_weapons_p_garand_rg_grenade,P Garand Rg Grenade,weapons,dod/weapons/p_garand_rg_grenade.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
dod_weapons_p_k98_rg_grenade,P K98 Rg Grenade,weapons,dod/weapons/p_k98_rg_grenade.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
dod_weapons_p_smoke_ger,P Smoke Ger,weapons,dod/weapons/p_smoke_ger.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
dod_weapons_p_smoke_us,P Smoke Us,weapons,dod/weapons/p_smoke_us.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
dod_weapons_p_stick,P Stick,weapons,dod/weapons/p_stick.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
dod_weapons_p_tnt,P Tnt,weapons,dod/weapons/p_tnt.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
dod_weapons_v_30cal,V 30Cal,weapons,dod/weapons/v_30cal.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
dod_weapons_v_amerk,V Amerk,weapons,dod/weapons/v_amerk.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
dod_weapons_v_bar,V Bar,weapons,dod/weapons/v_bar.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
dod_weapons_v_bazooka,V Bazooka,weapons,dod/weapons/v_bazooka.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
dod_weapons_v_c96,V C96,weapons,dod/weapons/v_c96.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
dod_weapons_v_colt,V Colt,weapons,dod/weapons/v_colt.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
dod_weapons_v_frag,V Frag,weapons,dod/weapons/v_frag.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
dod_weapons_v_garand,V Garand,weapons,dod/weapons/v_garand.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
dod_weapons_v_garand_rg,V Garand Rg,weapons,dod/weapons/v_garand_rg.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
dod_weapons_v_garand_rglive,V Garand Rglive,weapons,dod/weapons/v_garand_rglive.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
dod_weapons_v_k98,V K98,weapons,dod/weapons/v_k98.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
dod_weapons_v_k98_rg,V K98 Rg,weapons,dod/weapons/v_k98_rg.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
dod_weapons_v_k98_rglive,V K98 Rglive,weapons,dod/weapons/v_k98_rglive.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
dod_weapons_v_k98_scoped,V K98 Scoped,weapons,dod/weapons/v_k98_scoped.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
dod_weapons_v_m1carbine,V M1Carbine,weapons,dod/weapons/v_m1carbine.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
dod_weapons_v_mg42,V Mg42,weapons,dod/weapons/v_mg42.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
dod_weapons_v_mp40,V Mp40,weapons,dod/weapons/v_mp40.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
dod_weapons_v_mp44,V Mp44,weapons,dod/weapons/v_mp44.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
dod_weapons_v_p38,V P38,weapons,dod/weapons/v_p38.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
dod_weapons_v_panzerschreck,V Panzerschreck,weapons,dod/weapons/v_panzerschreck.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
dod_weapons_v_smoke_ger,V Smoke Ger,weapons,dod/weapons/v_smoke_ger.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
dod_weapons_v_smoke_us,V Smoke Us,weapons,dod/weapons/v_smoke_us.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
dod_weapons_v_spade,V Spade,weapons,dod/weapons/v_spade.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
dod_weapons_v_springfield,V Springfield,weapons,dod/weapons/v_springfield.glb,1.000,1.100,0,none,viewmodel_like:keyword=weapon:1.00
