id,display_name,kept_personal,added_personal,final_personal,kept_corporate,added_corporate,final_corporate,max_personal_score,max_corporate_score,review_reasons,pass_b_applied
css_props_cs_assault_moneypallet02,Moneypallet02,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_assault_moneypallet02a,Moneypallet02A,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_assault_moneypallet02b,Moneypallet02B,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_assault_nostopssign,Nostopssign,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_assault_pylon,Pylon,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_assault_streetlight,Streetlight,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_assault_ventilationduct01,Ventilationduct01,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_assault_washer_box,Washer Box,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_assault_washer_box2,Washer Box2,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_havana_bookcase_small,Bookcase Small,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_italy_bananna,Bananna,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_italy_bananna_bunch,Bananna Bunch,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_italy_banannagib1,Banannagib1,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_italy_it_lampholder1,It Lampholder1,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_italy_it_mkt_container2,It Mkt Container2,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_italy_it_mkt_container3a,It Mkt Container3A,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_italy_it_mkt_shelf1,It Mkt Shelf1,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_italy_orange,Orange,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_italy_orangegib1,Orangegib1,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_militia_axe,Axe,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_militia_barstool01,Barstool01,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_militia_bottle01,Bottle01,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_militia_boxes_garage_lower,Boxes Garage Lower,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_militia_caseofbeer01,Caseofbeer01,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_militia_crate_extrasmallmill,Crate Extrasmallmill,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_militia_dryer,Dryer,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_militia_footlocker01_closed,Footlocker01 Closed,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_militia_footlocker01_open,Footlocker01 Open,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_militia_microwave01,Microwave01,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_militia_militiarock05,Militiarock05,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_militia_newspaperstack01,Newspaperstack01,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_militia_paintbucket01,Paintbucket01,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_militia_refrigerator01,Refrigerator01,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_militia_stove01,Stove01,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_militia_table_kitchen,Table Kitchen,domestic institutional intimate mundane nostalgic personal public,,domestic institutional intimate mundane nostalgic personal public,broad_appeal,,broad_appeal,0.5500,0.5500,balance_changed_personal,False
css_props_cs_militia_table_shed,Table Shed,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_militia_television_console01,Television Console01,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_militia_toilet,Toilet,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_militia_toothbrushset01,Toothbrushset01,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_militia_tv_console,Tv Console,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_militia_wood_bench,Wood Bench,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_militia_wood_table,Wood Table,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_office_bookshelf1,Bookshelf1,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_office_bookshelf3,Bookshelf3,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_office_cardboard_box01,Cardboard Box01,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_office_cardboard_box02,Cardboard Box02,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_office_cardboard_box03,Cardboard Box03,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_office_chair_office,Chair Office,bureaucratic institutional mundane public,,bureaucratic institutional mundane public,broad_appeal,,broad_appeal,0.5500,0.5500,balance_changed_personal,False
css_props_cs_office_coffee_mug,Coffee Mug,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_office_coffee_mug2,Coffee Mug2,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_office_coffee_mug3,Coffee Mug3,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_office_computer,Computer,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_office_computer_case,Computer Case,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_office_computer_caseb,Computer Caseb,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_office_computer_keyboard,Computer Keyboard,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_office_computer_monitor,Computer Monitor,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_office_file_box,File Box,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_office_file_box_p1,File Box P1,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_office_file_cabinet1,File Cabinet1,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_office_file_cabinet1_group,File Cabinet1 Group,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_office_file_cabinet2,File Cabinet2,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_office_file_cabinet3,File Cabinet3,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_office_fire_extinguisher,Fire Extinguisher,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_office_microwave,Microwave,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_office_offcorkboarda,Offcorkboarda,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_office_offinspb,Offinspb,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_office_offinspc,Offinspc,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_office_offinspd,Offinspd,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_office_offpaintingb,Offpaintingb,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_office_offpaintinge,Offpaintinge,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_office_offpaintingf,Offpaintingf,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_office_offpaintingg,Offpaintingg,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_office_offpaintingh,Offpaintingh,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_office_offpaintingi,Offpaintingi,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_office_offpaintingj,Offpaintingj,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_office_offpaintingk,Offpaintingk,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_office_offpaintingl,Offpaintingl,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_office_offpaintingm,Offpaintingm,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_office_paper_towels,Paper Towels,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_office_phone,Phone,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_office_phone_p1,Phone P1,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_office_phone_p2,Phone P2,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_office_plant01,Plant01,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_office_projector,Projector,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_office_projector_remote,Projector Remote,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_office_radio,Radio,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_office_radio_p1,Radio P1,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_office_shelves_metal,Shelves Metal,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_office_shelves_metal1,Shelves Metal1,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_office_shelves_metal2,Shelves Metal2,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_office_shelves_metal3,Shelves Metal3,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_office_snowman_body,Snowman Body,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_office_sofa_chair,Sofa Chair,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_office_table_coffee,Table Coffee,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_office_trash_can,Trash Can,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_office_trash_can_p,Trash Can,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_office_trash_can_p1,Trash Can P1,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_office_tv_plasma,Tv Plasma,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_office_tv_plasma_p1,Tv Plasma P1,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_office_vending_machine,Vending Machine,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_office_water_bottle,Water Bottle,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_de_dust_du_crate_64x64,Du Crate 64X64,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_de_dust_du_crate_64x80,Du Crate 64X80,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_de_dust_grainbasket01b,Grainbasket01B,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_de_dust_stoneblock01a,Stoneblock01A,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_de_inferno_bed,Bed,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_de_inferno_bushgreensmall,Bushgreensmall,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_de_inferno_cactus,Cactus,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_de_inferno_cactus2,Cactus2,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_de_inferno_chairantique,Chairantique,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_de_inferno_cinderblock,Cinderblock,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_de_inferno_claypot01,Claypot01,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_de_inferno_claypot03,Claypot03,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_de_inferno_clock01,Clock01,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_de_inferno_crate_fruit_break,Crate Fruit Break,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_de_inferno_de_inferno_boulder_01,De Inferno Boulder 01,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_de_inferno_de_inferno_boulder_02,De Inferno Boulder 02,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_de_inferno_de_inferno_boulder_03,De Inferno Boulder 03,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_de_inferno_flower_barrel,Flower Barrel,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_de_inferno_furniture_couch01a,Furniture Couch01A,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_de_inferno_furniture_couch02a,Furniture Couch02A,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_de_inferno_furniturecouch001a,Furniturecouch001A,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_de_inferno_furniturecupboard001a,Furniturecupboard001A,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_de_inferno_furnituredrawer001a,Furnituredrawer001A,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_de_inferno_picture2,Picture2,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_de_inferno_picture3,Picture3,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_de_inferno_pot_big,Pot Big,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_de_inferno_potted_plant1,Potted Plant1,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_de_inferno_potted_plant3,Potted Plant3,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_de_inferno_radiator01a,Radiator01A,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_de_inferno_railingspikedgate,Railingspikedgate,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_de_inferno_tableantique,Tableantique,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_de_inferno_tablecoffee,Tablecoffee,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_de_inferno_tv_monitor01,Tv Monitor01,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_de_inferno_wine_barrel,Wine Barrel,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_de_nuke_cinderblock_stack,Cinderblock Stack,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_de_nuke_crate_extrasmall,Crate Extrasmall,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_de_nuke_crate_small,Crate Small,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_de_nuke_equipment1,Equipment1,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_de_nuke_file_cabinet1_group,File Cabinet1 Group,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_de_nuke_handtruck,Handtruck,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_de_nuke_nucleartestcabinet,Nucleartestcabinet,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_de_piranesi_pi_bucket,Pi Bucket,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_de_prodigy_ammo_can_01,Ammo Can 01,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_de_prodigy_ammo_can_02,Ammo Can 02,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_de_prodigy_ammo_can_03,Ammo Can 03,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_de_prodigy_concretebags,Concretebags,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_de_prodigy_concretebags2,Concretebags2,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_de_prodigy_concretebags3,Concretebags3,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_de_prodigy_concretebags4,Concretebags4,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_de_prodigy_prodcratesb,Prodcratesb,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_de_prodigy_pushcart,Pushcart,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_de_prodigy_tire1,Tire1,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_de_prodigy_tire2,Tire2,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_de_prodigy_tirestack,Tirestack,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_de_prodigy_tirestack2,Tirestack2,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_de_prodigy_tirestack3,Tirestack3,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_de_prodigy_wood_pallet_01,Wood Pallet 01,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_de_tides_gate,Gate,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_de_tides_gate_low,Gate Low,institutional mundane public,,institutional mundane public,brand_safe broad_appeal,,brand_safe broad_appeal,0.0000,0.8429,low_confidence_personal,False
