id,display_name,review_reasons,final_personal,final_corporate,max_personal_score,max_corporate_score,balance_trace_personal,balance_trace_corporate
css_props_cs_assault_firehydrant,Firehydrant,low_confidence_personal,institutional mundane public,broad_appeal,0.0000,0.5500,"{""dynamic_floor"": 0, ""dynamic_cap"": 5, ""strength"": 0.02, ""natural_picked"": [], ""balanced_picked"": [], ""balance_changed_pick"": false}","{""dynamic_floor"": 0, ""dynamic_cap"": 10, ""strength"": 0.02, ""natural_picked"": [""broad_appeal""], ""balanced_picked"": [""broad_appeal""], ""balance_changed_pick"": false}"
css_props_cs_assault_handtruck,Handtruck,low_confidence_personal,bureaucratic institutional mundane public,brand_safe broad_appeal campaign_ready,0.0000,0.5500,"{""dynamic_floor"": 0, ""dynamic_cap"": 6, ""strength"": 0.02, ""natural_picked"": [], ""balanced_picked"": [], ""balance_changed_pick"": false}","{""dynamic_floor"": 1, ""dynamic_cap"": 11, ""strength"": 0.02, ""natural_picked"": [""broad_appeal""], ""balanced_picked"": [""broad_appeal""], ""balance_changed_pick"": false}"
css_props_cs_assault_money,Money,low_confidence_personal,institutional mundane public,broad_appeal,0.0000,0.5500,"{""dynamic_floor"": 0, ""dynamic_cap"": 6, ""strength"": 0.02, ""natural_picked"": [], ""balanced_picked"": [], ""balance_changed_pick"": false}","{""dynamic_floor"": 1, ""dynamic_cap"": 11, ""strength"": 0.02, ""natural_picked"": [""broad_appeal""], ""balanced_picked"": [""broad_appeal""], ""balance_changed_pick"": false}"
css_props_cs_assault_moneypallet,Moneypallet,low_confidence_personal,institutional mundane public,broad_appeal,0.0000,0.5500,"{""dynamic_floor"": 0, ""dynamic_cap"": 6, ""strength"": 0.02, ""natural_picked"": [], ""balanced_picked"": [], ""balance_changed_pick"": false}","{""dynamic_floor"": 1, ""dynamic_cap"": 12, ""strength"": 0.02, ""natural_picked"": [""broad_appeal""], ""balanced_picked"": [""broad_appeal""], ""balance_changed_pick"": false}"
css_props_cs_assault_moneypallet02,Moneypallet02,low_confidence_personal,institutional mundane public,broad_appeal,0.0000,0.5500,"{""dynamic_floor"": 0, ""dynamic_cap"": 6, ""strength"": 0.02, ""natural_picked"": [], ""balanced_picked"": [], ""balance_changed_pick"": false}","{""dynamic_floor"": 1, ""dynamic_cap"": 12, ""strength"": 0.02, ""natural_picked"": [""broad_appeal""], ""balanced_picked"": [""broad_appeal""], ""balance_changed_pick"": false}"
css_props_cs_assault_moneypallet02a,Moneypallet02A,low_confidence_personal,institutional mundane public,broad_appeal,0.0000,0.5500,"{""dynamic_floor"": 0, ""dynamic_cap"": 7, ""strength"": 0.02, ""natural_picked"": [], ""balanced_picked"": [], ""balance_changed_pick"": false}","{""dynamic_floor"": 1, ""dynamic_cap"": 13, ""strength"": 0.02, ""natural_picked"": [""broad_appeal""], ""balanced_picked"": [""broad_appeal""], ""balance_changed_pick"": false}"
css_props_cs_assault_moneypallet02b,Moneypallet02B,low_confidence_personal,institutional mundane public,broad_appeal,0.0000,0.5500,"{""dynamic_floor"": 0, ""dynamic_cap"": 7, ""strength"": 0.02, ""natural_picked"": [], ""balanced_picked"": [], ""balance_changed_pick"": false}","{""dynamic_floor"": 1, ""dynamic_cap"": 14, ""strength"": 0.02, ""natural_picked"": [""broad_appeal""], ""balanced_picked"": [""broad_appeal""], ""balance_changed_pick"": false}"
css_props_cs_assault_nostopssign,Nostopssign,low_confidence_personal,institutional mundane public,broad_appeal,0.0000,0.5500,"{""dynamic_floor"": 0, ""dynamic_cap"": 7, ""strength"": 0.02, ""natural_picked"": [], ""balanced_picked"": [], ""balance_changed_pick"": false}","{""dynamic_floor"": 1, ""dynamic_cap"": 14, ""strength"": 0.02, ""natural_picked"": [""broad_appeal""], ""balanced_picked"": [""broad_appeal""], ""balance_changed_pick"": false}"
css_props_cs_assault_pylon,Pylon,low_confidence_personal,institutional mundane public,broad_appeal,0.0000,0.5500,"{""dynamic_floor"": 0, ""dynamic_cap"": 8, ""strength"": 0.02, ""natural_picked"": [], ""balanced_picked"": [], ""balance_changed_pick"": false}","{""dynamic_floor"": 1, ""dynamic_cap"": 15, ""strength"": 0.02, ""natural_picked"": [""broad_appeal""], ""balanced_picked"": [""broad_appeal""], ""balance_changed_pick"": false}"
css_props_cs_assault_streetlight,Streetlight,low_confidence_personal,institutional mundane public,broad_appeal,0.0000,0.5500,"{""dynamic_floor"": 0, ""dynamic_cap"": 8, ""strength"": 0.02, ""natural_picked"": [], ""balanced_picked"": [], ""balance_changed_pick"": false}","{""dynamic_floor"": 1, ""dynamic_cap"": 16, ""strength"": 0.02, ""natural_picked"": [""broad_appeal""], ""balanced_picked"": [""broad_appeal""], ""balance_changed_pick"": false}"
css_props_cs_assault_ventilationduct01,Ventilationduct01,low_confidence_personal,institutional mundane public,broad_appeal,0.0000,0.5500,"{""dynamic_floor"": 0, ""dynamic_cap"": 8, ""strength"": 0.02, ""natural_picked"": [], ""balanced_picked"": [], ""balance_changed_pick"": false}","{""dynamic_floor"": 1, ""dynamic_cap"": 16, ""strength"": 0.02, ""natural_picked"": [""broad_appeal""], ""balanced_picked"": [""broad_appeal""], ""balance_changed_pick"": false}"
css_props_cs_assault_washer_box,Washer Box,low_confidence_personal,institutional mundane public,broad_appeal,0.0000,0.5500,"{""dynamic_floor"": 0, ""dynamic_cap"": 9, ""strength"": 0.02, ""natural_picked"": [], ""balanced_picked"": [], ""balance_changed_pick"": false}","{""dynamic_floor"": 1, ""dynamic_cap"": 17, ""strength"": 0.02, ""natural_picked"": [""broad_appeal""], ""balanced_picked"": [""broad_appeal""], ""balance_changed_pick"": false}"
css_props_cs_assault_washer_box2,Washer Box2,low_confidence_personal,institutional mundane public,broad_appeal,0.0000,0.5500,"{""dynamic_floor"": 0, ""dynamic_cap"": 9, ""strength"": 0.02, ""natural_picked"": [], ""balanced_picked"": [], ""balance_changed_pick"": false}","{""dynamic_floor"": 1, ""dynamic_cap"": 17, ""strength"": 0.02, ""natural_picked"": [""broad_appeal""], ""balanced_picked"": [""broad_appeal""], ""balance_changed_pick"": false}"
css_props_cs_havana_bookcase_small,Bookcase Small,low_confidence_personal,institutional mundane public,broad_appeal,0.0000,0.5500,"{""dynamic_floor"": 0, ""dynamic_cap"": 9, ""strength"": 0.02, ""natural_picked"": [], ""balanced_picked"": [], ""balance_changed_pick"": false}","{""dynamic_floor"": 1, ""dynamic_cap"": 18, ""strength"": 0.02, ""natural_picked"": [""broad_appeal""], ""balanced_picked"": [""broad_appeal""], ""balance_changed_pick"": false}"
css_props_cs_italy_bananna,Bananna,low_confidence_personal,institutional mundane public,broad_appeal,0.0000,0.5500,"{""dynamic_floor"": 0, ""dynamic_cap"": 10, ""strength"": 0.02, ""natural_picked"": [], ""balanced_picked"": [], ""balance_changed_pick"": false}","{""dynamic_floor"": 1, ""dynamic_cap"": 19, ""strength"": 0.02, ""natural_picked"": [""broad_appeal""], ""balanced_picked"": [""broad_appeal""], ""balance_changed_pick"": false}"
css_props_cs_italy_bananna_bunch,Bananna Bunch,low_confidence_personal,institutional mundane public,broad_appeal,0.0000,0.5500,"{""dynamic_floor"": 0, ""dynamic_cap"": 10, ""strength"": 0.02, ""natural_picked"": [], ""balanced_picked"": [], ""balance_changed_pick"": false}","{""dynamic_floor"": 1, ""dynamic_cap"": 19, ""strength"": 0.02, ""natural_picked"": [""broad_appeal""], ""balanced_picked"": [""broad_appeal""], ""balance_changed_pick"": false}"
css_props_cs_italy_banannagib1,Banannagib1,low_confidence_personal,institutional mundane public,broad_appeal,0.0000,0.5500,"{""dynamic_floor"": 0, ""dynamic_cap"": 10, ""strength"": 0.02, ""natural_picked"": [], ""balanced_picked"": [], ""balance_changed_pick"": false}","{""dynamic_floor"": 1, ""dynamic_cap"": 20, ""strength"": 0.02, ""natural_picked"": [""broad_appeal""], ""balanced_picked"": [""broad_appeal""], ""balance_changed_pick"": false}"
css_props_cs_italy_it_lampholder1,It Lampholder1,low_confidence_personal,institutional mundane public,broad_appeal,0.0000,0.5500,"{""dynamic_floor"": 1, ""dynamic_cap"": 11, ""strength"": 0.02, ""natural_picked"": [], ""balanced_picked"": [], ""balance_changed_pick"": false}","{""dynamic_floor"": 2, ""dynamic_cap"": 21, ""strength"": 0.02, ""natural_picked"": [""broad_appeal""], ""balanced_picked"": [""broad_appeal""], ""balance_changed_pick"": false}"
css_props_cs_italy_it_mkt_container2,It Mkt Container2,low_confidence_personal,institutional mundane public,broad_appeal,0.0000,0.5500,"{""dynamic_floor"": 1, ""dynamic_cap"": 11, ""strength"": 0.02, ""natural_picked"": [], ""balanced_picked"": [], ""balance_changed_pick"": false}","{""dynamic_floor"": 2, ""dynamic_cap"": 21, ""strength"": 0.02, ""natural_picked"": [""broad_appeal""], ""balanced_picked"": [""broad_appeal""], ""balance_changed_pick"": false}"
css_props_cs_italy_it_mkt_container3a,It Mkt Container3A,low_confidence_personal,institutional mundane public,broad_appeal,0.0000,0.5500,"{""dynamic_floor"": 1, ""dynamic_cap"": 11, ""strength"": 0.02, ""natural_picked"": [], ""balanced_picked"": [], ""balance_changed_pick"": false}","{""dynamic_floor"": 2, ""dynamic_cap"": 22, ""strength"": 0.02, ""natural_picked"": [""broad_appeal""], ""balanced_picked"": [""broad_appeal""], ""balance_changed_pick"": false}"
css_props_cs_italy_it_mkt_shelf1,It Mkt Shelf1,low_confidence_personal,institutional mundane public,broad_appeal,0.0000,0.5500,"{""dynamic_floor"": 1, ""dynamic_cap"": 11, ""strength"": 0.02, ""natural_picked"": [], ""balanced_picked"": [], ""balance_changed_pick"": false}","{""dynamic_floor"": 2, ""dynamic_cap"": 22, ""strength"": 0.02, ""natural_picked"": [""broad_appeal""], ""balanced_picked"": [""broad_appeal""], ""balance_changed_pick"": false}"
css_props_cs_italy_orange,Orange,low_confidence_personal,institutional mundane public,broad_appeal,0.0000,0.5500,"{""dynamic_floor"": 1, ""dynamic_cap"": 12, ""strength"": 0.02, ""natural_picked"": [], ""balanced_picked"": [], ""balance_changed_pick"": false}","{""dynamic_floor"": 2, ""dynamic_cap"": 23, ""strength"": 0.02, ""natural_picked"": [""broad_appeal""], ""balanced_picked"": [""broad_appeal""], ""balance_changed_pick"": false}"
css_props_cs_italy_orangegib1,Orangegib1,low_confidence_personal,institutional mundane public,broad_appeal,0.0000,0.5500,"{""dynamic_floor"": 1, ""dynamic_cap"": 12, ""strength"": 0.02, ""natural_picked"": [], ""balanced_picked"": [], ""balance_changed_pick"": false}","{""dynamic_floor"": 2, ""dynamic_cap"": 24, ""strength"": 0.02, ""natural_picked"": [""broad_appeal""], ""balanced_picked"": [""broad_appeal""], ""balance_changed_pick"": false}"
css_props_cs_militia_axe,Axe,low_confidence_personal,institutional mundane public,broad_appeal,0.0000,0.5500,"{""dynamic_floor"": 1, ""dynamic_cap"": 12, ""strength"": 0.02, ""natural_picked"": [], ""balanced_picked"": [], ""balance_changed_pick"": false}","{""dynamic_floor"": 2, ""dynamic_cap"": 24, ""strength"": 0.02, ""natural_picked"": [""broad_appeal""], ""balanced_picked"": [""broad_appeal""], ""balance_changed_pick"": false}"
css_props_cs_militia_barstool01,Barstool01,low_confidence_personal,institutional mundane public,broad_appeal,0.0000,0.5500,"{""dynamic_floor"": 1, ""dynamic_cap"": 13, ""strength"": 0.02, ""natural_picked"": [], ""balanced_picked"": [], ""balance_changed_pick"": false}","{""dynamic_floor"": 2, ""dynamic_cap"": 25, ""strength"": 0.02, ""natural_picked"": [""broad_appeal""], ""balanced_picked"": [""broad_appeal""], ""balance_changed_pick"": false}"
css_props_cs_militia_bottle01,Bottle01,low_confidence_personal,institutional mundane public,broad_appeal,0.0000,0.5500,"{""dynamic_floor"": 1, ""dynamic_cap"": 13, ""strength"": 0.02, ""natural_picked"": [], ""balanced_picked"": [], ""balance_changed_pick"": false}","{""dynamic_floor"": 2, ""dynamic_cap"": 26, ""strength"": 0.02, ""natural_picked"": [""broad_appeal""], ""balanced_picked"": [""broad_appeal""], ""balance_changed_pick"": false}"
css_props_cs_militia_boxes_garage_lower,Boxes Garage Lower,low_confidence_personal,institutional mundane public,broad_appeal,0.0000,0.5500,"{""dynamic_floor"": 1, ""dynamic_cap"": 13, ""strength"": 0.02, ""natural_picked"": [], ""balanced_picked"": [], ""balance_changed_pick"": false}","{""dynamic_floor"": 2, ""dynamic_cap"": 26, ""strength"": 0.02, ""natural_picked"": [""broad_appeal""], ""balanced_picked"": [""broad_appeal""], ""balance_changed_pick"": false}"
css_props_cs_militia_caseofbeer01,Caseofbeer01,low_confidence_personal,institutional mundane public,broad_appeal,0.0000,0.5500,"{""dynamic_floor"": 1, ""dynamic_cap"": 14, ""strength"": 0.02, ""natural_picked"": [], ""balanced_picked"": [], ""balance_changed_pick"": false}","{""dynamic_floor"": 2, ""dynamic_cap"": 27, ""strength"": 0.02, ""natural_picked"": [""broad_appeal""], ""balanced_picked"": [""broad_appeal""], ""balance_changed_pick"": false}"
css_props_cs_militia_crate_extrasmallmill,Crate Extrasmallmill,low_confidence_personal,institutional mundane public,broad_appeal,0.0000,0.5500,"{""dynamic_floor"": 1, ""dynamic_cap"": 14, ""strength"": 0.02, ""natural_picked"": [], ""balanced_picked"": [], ""balance_changed_pick"": false}","{""dynamic_floor"": 2, ""dynamic_cap"": 27, ""strength"": 0.02, ""natural_picked"": [""broad_appeal""], ""balanced_picked"": [""broad_appeal""], ""balance_changed_pick"": false}"
css_props_cs_militia_dryer,Dryer,low_confidence_personal,institutional mundane public,broad_appeal,0.0000,0.5500,"{""dynamic_floor"": 1, ""dynamic_cap"": 14, ""strength"": 0.02, ""natural_picked"": [], ""balanced_picked"": [], ""balance_changed_pick"": false}","{""dynamic_floor"": 2, ""dynamic_cap"": 28, ""strength"": 0.02, ""natural_picked"": [""broad_appeal""], ""balanced_picked"": [""broad_appeal""], ""balance_changed_pick"": false}"
css_props_cs_militia_footlocker01_closed,Footlocker01 Closed,low_confidence_personal,institutional mundane public,broad_appeal,0.0000,0.5500,"{""dynamic_floor"": 1, ""dynamic_cap"": 15, ""strength"": 0.02, ""natural_picked"": [], ""balanced_picked"": [], ""balance_changed_pick"": false}","{""dynamic_floor"": 2, ""dynamic_cap"": 29, ""strength"": 0.02, ""natural_picked"": [""broad_appeal""], ""balanced_picked"": [""broad_appeal""], ""balance_changed_pick"": false}"
css_props_cs_militia_footlocker01_open,Footlocker01 Open,low_confidence_personal,institutional mundane public,broad_appeal,0.0000,0.5500,"{""dynamic_floor"": 1, ""dynamic_cap"": 15, ""strength"": 0.02, ""natural_picked"": [], ""balanced_picked"": [], ""balance_changed_pick"": false}","{""dynamic_floor"": 2, ""dynamic_cap"": 29, ""strength"": 0.02, ""natural_picked"": [""broad_appeal""], ""balanced_picked"": [""broad_appeal""], ""balance_changed_pick"": false}"
css_props_cs_militia_microwave01,Microwave01,low_confidence_personal,institutional mundane public,broad_appeal,0.0000,0.5500,"{""dynamic_floor"": 1, ""dynamic_cap"": 15, ""strength"": 0.02, ""natural_picked"": [], ""balanced_picked"": [], ""balance_changed_pick"": false}","{""dynamic_floor"": 2, ""dynamic_cap"": 30, ""strength"": 0.02, ""natural_picked"": [""broad_appeal""], ""balanced_picked"": [""broad_appeal""], ""balance_changed_pick"": false}"
css_props_cs_militia_militiarock05,Militiarock05,low_confidence_personal,institutional mundane public,broad_appeal,0.0000,0.5500,"{""dynamic_floor"": 1, ""dynamic_cap"": 16, ""strength"": 0.02, ""natural_picked"": [], ""balanced_picked"": [], ""balance_changed_pick"": false}","{""dynamic_floor"": 3, ""dynamic_cap"": 31, ""strength"": 0.02, ""natural_picked"": [""broad_appeal""], ""balanced_picked"": [""broad_appeal""], ""balance_changed_pick"": false}"
css_props_cs_militia_newspaperstack01,Newspaperstack01,low_confidence_personal,institutional mundane public,broad_appeal,0.0000,0.5500,"{""dynamic_floor"": 1, ""dynamic_cap"": 16, ""strength"": 0.02, ""natural_picked"": [], ""balanced_picked"": [], ""balance_changed_pick"": false}","{""dynamic_floor"": 3, ""dynamic_cap"": 31, ""strength"": 0.02, ""natural_picked"": [""broad_appeal""], ""balanced_picked"": [""broad_appeal""], ""balance_changed_pick"": false}"
css_props_cs_militia_paintbucket01,Paintbucket01,low_confidence_personal,institutional mundane public,broad_appeal,0.0000,0.5500,"{""dynamic_floor"": 1, ""dynamic_cap"": 16, ""strength"": 0.02, ""natural_picked"": [], ""balanced_picked"": [], ""balance_changed_pick"": false}","{""dynamic_floor"": 3, ""dynamic_cap"": 32, ""strength"": 0.02, ""natural_picked"": [""broad_appeal""], ""balanced_picked"": [""broad_appeal""], ""balance_changed_pick"": false}"
css_props_cs_militia_refrigerator01,Refrigerator01,low_confidence_personal,institutional mundane public,broad_appeal,0.0000,0.5500,"{""dynamic_floor"": 1, ""dynamic_cap"": 16, ""strength"": 0.02, ""natural_picked"": [], ""balanced_picked"": [], ""balance_changed_pick"": false}","{""dynamic_floor"": 3, ""dynamic_cap"": 32, ""strength"": 0.02, ""natural_picked"": [""broad_appeal""], ""balanced_picked"": [""broad_appeal""], ""balance_changed_pick"": false}"
css_props_cs_militia_stove01,Stove01,low_confidence_personal,institutional mundane public,broad_appeal,0.0000,0.5500,"{""dynamic_floor"": 1, ""dynamic_cap"": 17, ""strength"": 0.02, ""natural_picked"": [], ""balanced_picked"": [], ""balance_changed_pick"": false}","{""dynamic_floor"": 3, ""dynamic_cap"": 33, ""strength"": 0.02, ""natural_picked"": [""broad_appeal""], ""balanced_picked"": [""broad_appeal""], ""balance_changed_pick"": false}"
css_props_cs_militia_table_kitchen,Table Kitchen,balance_changed_personal,domestic institutional intimate mundane nostalgic personal public,broad_appeal,0.5500,0.5500,"{""dynamic_floor"": 1, ""dynamic_cap"": 17, ""strength"": 0.02, ""natural_picked"": [""domestic"", ""nostalgic"", ""personal"", ""intimate""], ""balanced_picked"": [""intimate"", ""domestic"", ""nostalgic"", ""personal""], ""balance_changed_pick"": true}","{""dynamic_floor"": 3, ""dynamic_cap"": 34, ""strength"": 0.02, ""natural_picked"": [""broad_appeal""], ""balanced_picked"": [""broad_appeal""], ""balance_changed_pick"": false}"
css_props_cs_militia_table_shed,Table Shed,low_confidence_personal,institutional mundane public,broad_appeal,0.0000,0.5500,"{""dynamic_floor"": 1, ""dynamic_cap"": 17, ""strength"": 0.02, ""natural_picked"": [], ""balanced_picked"": [], ""balance_changed_pick"": false}","{""dynamic_floor"": 3, ""dynamic_cap"": 34, ""strength"": 0.02, ""natural_picked"": [""broad_appeal""], ""balanced_picked"": [""broad_appeal""], ""balance_changed_pick"": false}"
css_props_cs_militia_television_console01,Television Console01,low_confidence_personal,institutional mundane public,broad_appeal,0.0000,0.5500,"{""dynamic_floor"": 1, ""dynamic_cap"": 18, ""strength"": 0.02, ""natural_picked"": [], ""balanced_picked"": [], ""balance_changed_pick"": false}","{""dynamic_floor"": 3, ""dynamic_cap"": 35, ""strength"": 0.02, ""natural_picked"": [""broad_appeal""], ""balanced_picked"": [""broad_appeal""], ""balance_changed_pick"": false}"
css_props_cs_militia_toilet,Toilet,low_confidence_personal,institutional mundane public,broad_appeal,0.0000,0.5500,"{""dynamic_floor"": 1, ""dynamic_cap"": 18, ""strength"": 0.02, ""natural_picked"": [], ""balanced_picked"": [], ""balance_changed_pick"": false}","{""dynamic_floor"": 3, ""dynamic_cap"": 36, ""strength"": 0.02, ""natural_picked"": [""broad_appeal""], ""balanced_picked"": [""broad_appeal""], ""balance_changed_pick"": false}"
css_props_cs_militia_toothbrushset01,Toothbrushset01,low_confidence_personal,institutional mundane public,broad_appeal,0.0000,0.5500,"{""dynamic_floor"": 1, ""dynamic_cap"": 18, ""strength"": 0.02, ""natural_picked"": [], ""balanced_picked"": [], ""balance_changed_pick"": false}","{""dynamic_floor"": 3, ""dynamic_cap"": 36, ""strength"": 0.02, ""natural_picked"": [""broad_appeal""], ""balanced_picked"": [""broad_appeal""], ""balance_changed_pick"": false}"
css_props_cs_militia_tv_console,Tv Console,low_confidence_personal,institutional mundane public,broad_appeal,0.0000,0.5500,"{""dynamic_floor"": 1, ""dynamic_cap"": 19, ""strength"": 0.02, ""natural_picked"": [], ""balanced_picked"": [], ""balance_changed_pick"": false}","{""dynamic_floor"": 3, ""dynamic_cap"": 37, ""strength"": 0.02, ""natural_picked"": [""broad_appeal""], ""balanced_picked"": [""broad_appeal""], ""balance_changed_pick"": false}"
css_props_cs_militia_wood_bench,Wood Bench,low_confidence_personal,institutional mundane public,broad_appeal,0.0000,0.5500,"{""dynamic_floor"": 1, ""dynamic_cap"": 19, ""strength"": 0.02, ""natural_picked"": [], ""balanced_picked"": [], ""balance_changed_pick"": false}","{""dynamic_floor"": 3, ""dynamic_cap"": 37, ""strength"": 0.02, ""natural_picked"": [""broad_appeal""], ""balanced_picked"": [""broad_appeal""], ""balance_changed_pick"": false}"
